alpha,safety,under_pct,total_over_pct,business_score,mean_prediction,mean_true,total_waste_gb,total_underalloc_gb
0.9,1.0,12.967092986209094,29.817905705916797,94.65337063696226,100.23941489006286,78.053827564173,511353.42098038265,23913.8818432572
0.9,1.02,9.676391607118475,32.06252535594369,80.44448339153607,102.24420318786409,78.053827564173,549846.8667696784,18360.12394156157
0.9,1.04,7.264120886623276,34.3990874624721,70.71969189558848,104.24899148566536,78.053827564173,589917.052727418,14383.106208309666
0.9,1.06,5.4936052068635925,36.79961451893702,64.26764055325498,106.25377978346658,78.053827564173,631084.1868174466,11503.036607346854
0.9,1.08,4.337535842701743,39.243329532750955,60.93100874625967,108.25856808126785,78.053827564173,672991.9601043854,9363.606203294126
0.9,1.1,3.54558281370898,41.71190584067458,59.43981990921948,110.26335637906912,78.053827564173,715326.0848567279,7650.527264645289
0.9,1.12,2.940239406490374,44.19890679388073,58.9001038263326,112.26814467687038,78.053827564173,757976.1776548645,6253.416371790345
0.95,1.0,5.8486186336534525,36.26181569246624,65.50490886073351,105.80826949139711,78.053827564173,621861.3637115133,12068.520128472243
0.95,1.02,4.483182376769378,38.83411229572737,61.25002417957426,107.92443488122508,78.053827564173,665974.2092220816,9687.095859130688
0.95,1.04,3.622957534932411,41.43659611194042,59.55138378660247,110.04060027105301,78.053827564173,710604.7414798366,7823.358336975923
0.95,1.06,2.9629966774384418,44.06029061793197,58.875274005124176,112.15676566088096,78.053827564173,755599.0202356379,6323.36731286738
0.95,1.08,2.3758590869782896,46.70234730764617,58.58164274253762,114.2729310507089,78.053827564173,800908.1958710474,5138.273168367184
0.95,1.1,1.879750580310409,49.35864861464358,58.75740151619562,116.38909644053683,78.053827564173,846461.6553891066,4197.462906516706
0.95,1.12,1.5247371535205498,52.02655179326473,59.65023756086748,118.50526183036479,78.053827564173,892214.0777988955,3455.615536395834
0.95,1.14,1.2152382686268264,54.70330871866581,60.77950006179994,120.62142722019271,78.053827564173,938118.3349401059,2865.602897696923
0.98,1.0,3.959765144963816,40.33771869919517,60.136544424014254,109.14957947957552,78.053827564173,691759.8658608943,8555.100527585695
0.98,1.02,3.1951208411087344,43.03612947323587,59.011733678779535,111.33257106916705,78.053827564173,738035.4693229521,6868.19577472842
0.98,1.04,2.553365800373219,45.75491409262595,58.52174309449205,113.51556265875854,78.053827564173,784660.4680651708,5530.686302031989
0.98,1.06,2.034500022757271,48.49043193507936,58.66293204886571,115.69855424835005,78.053827564173,831572.4283043453,4480.138326291333
0.98,1.08,1.6157662373128214,51.239157132572345,59.317988319136454,117.88154583794159,78.053827564173,878710.8842018065,3656.0860088374043
0.98,1.1,1.2880615356606435,53.99814731689037,60.43845499519359,120.06453742753308,78.053827564173,926025.3764775791,3008.070069695022
0.98,1.12,1.04228300942151,56.76479800458286,61.97621305169041,122.24752901712459,78.053827564173,973471.2403072631,2491.4256844638608
0.98,1.14,0.8329161166992854,59.53814253687852,63.70272312037494,124.43052060671607,78.053827564173,1021031.8982600186,2089.575422304733
0.99,1.02,2.8765190478357834,44.44854446449362,58.83113970367254,112.46862586673831,78.053827564173,762257.2656069316,6129.732101269647
0.99,1.04,2.284830003186018,47.20458865391217,58.62873866984226,114.67389304059591,78.053827564173,809521.2364079604,4941.777825472676
0.99,1.06,1.7796185881389104,49.97557073612047,58.87366367681502,116.87916021445353,78.053827564173,857041.3802164302,4009.996557116766
0.99,1.08,1.401847890400983,52.758308911632994,59.76754836363791,119.08442738831114,78.053827564173,904763.131696068,3279.8229599289098
0.99,1.1,1.1560693641618498,55.55005870374938,61.33040552455863,121.28969456216875,78.053827564173,952639.4252493309,2704.191436366335
0.99,1.12,0.9330481088707843,58.34887768980548,63.0141182341594,123.49496173602635,78.053827564173,1000636.9498689303,2249.790979139957
0.99,1.14,0.7327841245277866,61.15353548038772,64.81745610302664,125.70022890988395,78.053827564173,1048734.6053527936,1895.5213861780483
